Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
155,Multilingual Knowledge Graph Embeddings for Cross-lingual Knowledge Alignment,Stony Brook University,Stony Brook University,Stony Brook University,University College London,,,,,,,,,,,,4.0,0.0
156,Dynamical System-Based Motion Planning for Multi-Arm Systems: Reaching for Moving Objects,Latin American Studies Association,Latin American Studies Association,Latin American Studies Association,Latin American Studies Association,,,,,,,,,,,,4.0,0.0
157,An End-to-End System for Accomplishing Tasks with Modular Robots: Perspectives for the AI Community,Cornell University,University of Pennsylvania,Univ. of Pennsylvania Hadas Kress-Gazit Cornell Univ,,,,,,,,,,,,,2.0,0.0
158,Learning Sparse Representations in Reinforcement Learning with Sparse Coding,Indiana University Bloomington,Indiana University Bloomington,Indiana University Bloomington,,,,,,,,,,,,,3.0,0.0
159,Effective Representing of Information Network by Variational Autoencoder,Nankai University,Nankai University,Nankai University,,,,,,,,,,,,,3.0,0.0
160,Beyond Universal Saliency: Personalized Saliency Prediction with Multi-task CNN †,ShanghaiTech University,University of Delaware," Plex-VR digital technology Co., Ltd",ShanghaiTech University,ShanghaiTech University," Plex-VR digital technology Co., Ltd",ShanghaiTech University,,,,,,,,,3.0,2.0
161,Solving Probability Problems in Natural Language,KU Leuven,KU Leuven,KU Leuven,University of Edinburgh,KU Leuven,,,,,,,,,,,5.0,0.0
162,Strong Syntax Splitting for Iterated Belief Revision,TU Dortmund University,Leipzig University,,,,,,,,,,,,,,2.0,0.0
163,Process Plan Controllers for Non-Deterministic Manufacturing Systems,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,,,,,,,,,,,,4.0,0.0
164,Affinity Learning for Mixed Data Clustering,Temple University,Temple University,,,,,,,,,,,,,,2.0,0.0
165,Regional Concept Drift Detection and Density Synchronized Drift Adaptation ,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,4.0,0.0
166,CCEHC: An Efficient Local Search Algorithm for Weighted Partial Maximum Satisfiability (Extended Abstract) *,Institute of Computing Technology,Chinese Academy of Sciences,Jinan University,Massachusetts Institute of Technology,,,,,,,,,,,,4.0,0.0
167,Robust Multilingual Named Entity Recognition with Shallow Semi-supervised Features (Extended Abstract) *,University of the Basque Country,University of the Basque Country,,,,,,,,,,,,,,2.0,0.0
168,Mechanisms for Online Organ Matching,Data61,Data61,Data61,Data61,,,,,,,,,,,,4.0,0.0
169,End-to-End Prediction of Buffer Overruns from Raw Source Code via Neural Memory Networks,Korea University,Korea University,Korea University,Korea University,,,,,,,,,,,,4.0,0.0
170,Using Graphs of Classifiers to Impose Declarative Constraints on Semi-supervised Learning *,AI Lab Tencent Inc,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,2.0,0.0
171,Multiple Indefinite Kernel Learning for Feature Selection,Southeast University,Southeast University,Southeast University,Southeast University,Southeast University,Southeast University,,,,,,,,,,6.0,0.0
172,Purely Declarative Action Representations are Overrated: Classical Planning with Simulators,Pompeu Fabra University,University of Melbourne,University of Melbourne,Pompeu Fabra University,Institució Catalana de Recerca i Estudis Avançats,,,,,,,,,,,5.0,0.0
173,"Efficient, Safe, and Probably Approximately Complete Learning of Action Models",Ben-Gurion University of the Negev,Washington University in St. Louis,,,,,,,,,,,,,,2.0,0.0
174,TransNet: Translation-Based Network Representation Learning for Social Relation Extraction,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,,,,,11.0,0.0
175,A Dual-Stage Attention-Based Recurrent Neural Network for Time Series Prediction,"University of California, San Diego"," NEC Laboratories America, Inc"," NEC Laboratories America, Inc"," NEC Laboratories America, Inc"," NEC Laboratories America, Inc","University of California, San Diego",,,,,,,,,,2.0,0.0
176,LMPP: A Large Margin Point Process Combining Reinforcement and Competition for Modeling Hashtag Popularity,Indian Institute of Technology Kharagpur,Indian Institute of Technology Kharagpur,Indian Institute of Technology Kharagpur,Indian Institute of Technology Kharagpur,,,,,,,,,,,,4.0,0.0
177,Libratus: The Superhuman AI for No-Limit Poker,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,2.0,0.0
178,"Towards Trust, Transparency, and Liability in AI/AS Systems",University of Fribourg,,,,,,,,,,,,,,,1.0,0.0
179,Semi-supervised Learning over Heterogeneous Information Networks by Ensemble of Meta-graph Guided Random Walks,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,IBM Research - Almaden,Peking University,"University of California, Los Angeles",,,,,,,,,,,5.0,0.0
180,Enhancing the Unified Features to Locate Buggy Files by Exploiting the Sequential Nature of Source Code *,Nanjing University,Nanjing University,,,,,,,,,,,,,,2.0,0.0
181,Omniscient Debugging for Cognitive Agent Programs,Delft University of Technology,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,,3.0,0.0
182,Online Decision-Making for Scalable Autonomous Systems,University of Massachusetts Amherst," Nissan Research Center -Silicon Valley, Sunnyvale, CA 9408"," Nissan Research Center -Silicon Valley, Sunnyvale, CA 9408",University of Massachusetts Amherst,,,,,,,,,,,,2.0,0.0
183,Predicting Human Similarity Judgments with Distributional Models: The Value of Word Associations,University of Adelaide,University of Adelaide,UNSW Sydney,,,,,,,,,,,,,3.0,0.0
184,Linear Manifold Regularization with Adaptive Graph for Semi-supervised Dimensionality Reduction," Northwestern Ploytechnical University, Xi'an, 710072, P. R. Chin"," Northwestern Ploytechnical University, Xi'an, 710072, P. R. Chin",The University of Texas at Arlington," Northwestern Ploytechnical University, Xi'an, 710072, P. R. Chin",,,,,,,,,,,,1.0,0.0
185,Coherent Predictive Inference under Exchangeability with Imprecise Probabilities (Extended Abstract) *,Ghent University,Ghent University,Federal University of São Carlos,Research Institute for Artificial Intelligence,,,,,,,,,,,,4.0,0.0
186,Online Reputation Fraud Campaign Detection in User Ratings,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,3.0,0.0
187,Multimodal Storytelling via Generative Adversarial Imitation Learning,Virginia Tech,Virginia Tech,United States Army Corps of Engineers, Google Inc,Virginia Tech,,,,,,,,,,,4.0,0.0
188,Classification and Representation Joint Learning via Deep Networks,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Sydney,,,,,,,,,,,,4.0,0.0
189,Query Conservative Extensions in Horn Description Logics with Inverse Roles,University of Bremen,University of Bremen,University of Bremen,University of Bremen,,,,,,,,,,,,4.0,0.0
190,Bounded Timed Propositional Temporal Logic with Past Captures Timeline-based Planning with Bounded Constraints,Complutense University of Madrid,University of Indianapolis,University of Udine,University of Udine,University of Verona,University of Ferrara,,,,,,,,,,6.0,0.0
191,Competence Guided Model for Casebase Maintenance,Indian Institute of Technology Madras,Indian Institute of Technology Madras,,,,,,,,,,,,,,2.0,0.0
192,Summary: Multi-Agent Path Finding with Kinematic Constraints *,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,7.0,0.0
193,Saliency Guided End-to-End Learning for Weakly Supervised Object Detection,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,2.0,0.0
194,Constrained Bayesian Reinforcement Learning via Approximate Linear Programming *,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,University of Waterloo,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,4.0,0.0
195,Positive Unlabeled Learning via Wrapper-Based Adaptive Sampling,University of Sydney,University of Technology Sydney,University of Sydney,,,,,,,,,,,,,3.0,0.0
196,Feature Selection via Scaling Factor Integrated Multi-Class Support Vector Machines,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,,,,,,,,,,,,,3.0,0.0
197,Contest Design with Uncertain Performance and Costly Participation,Bar-Ilan University,Bar-Ilan University,"School of Computer Science College of Management, Israe",,,,,,,,,,,,,2.0,0.0
198,Why You Should Charge Your Friends for Borrowing Your Stuff,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,4.0,0.0
199,Student-t Process Regression with Student-t Likelihood,Tsinghua University,Nanyang Technological University,Tsinghua University,Tsinghua University,Tsinghua University,Nanyang Technological University,Tsinghua University,,,,,,,,,7.0,0.0
200,Forecast the Plausible Paths in Crowd Scenes *,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,4.0,0.0
201,Tactics of Adversarial Attack on Deep Reinforcement Learning Agents,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,Nvidia (United States),National Tsing Hua University,,,,,,,,,,5.0,1.0
202,Quantifying Aspect Bias in Ordinal Ratings using a Bayesian Approach,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,,,,3.0,0.0
203,Real-Time UAV Maneuvering via Automated Planning in Simulations,University of Melbourne,Defence Science and Technology Group,Defence Science and Technology Group,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,6.0,0.0
204,Query Answering in Ontologies under Preference Rankings,TU Dresden,University of Oxford,Free University of Bozen-Bolzano,The Alan Turing Institute,,,,,,,,,,,,4.0,0.0
205,Manipulating Opinion Diffusion in Social Networks,University of Oxford,University of Oxford,,,,,,,,,,,,,,2.0,0.0
206,Learning with Previously Unseen Features,Computer Science Department,University of Southern California,,,,,,,,,,,,,,1.0,0.0
207,Query-Driven Discovery of Anomalous Subgraphs in Attributed Graphs,Beihang University,"University at Albany, State University of New York",Beihang University,Beihang University,Beihang University,,,,,,,,,,,5.0,0.0
208,Learning from Demonstrations with High-Level Side Information *,University of Pennsylvania,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,3.0,0.0
209,Interaction-Based Ontology Alignment Repair with Expansion and Relaxation,Grenoble Alpes University,,,,,,,,,,,,,,,1.0,0.0
210,The Off-Switch Game,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",OpenAI (United States),International Computer Science Institute,"University of California, Berkeley",,,,,,,,,,5.0,1.0
211,Theoretic Analysis and Extremely Easy Algorithms for Domain Adaptive Feature Learning," Tencent AI Lab, P. R. Chin",Xidian University," Tencent AI Lab, P. R. Chin",Northwestern Polytechnical University,Hong Kong Polytechnic University,Xidian University,The University of Texas at Arlington,,,,,,,,,4.0,2.0
212,Adaptive Learning Rate via Covariance Matrix Based Preconditioning for Deep Neural Networks,"NTT Software Innovation Center, 3-9-11 Midori-cho Musashino-shi, Tokyo, 180-8585, Japa","NTT Software Innovation Center, 3-9-11 Midori-cho Musashino-shi, Tokyo, 180-8585, Japa","NTT Software Innovation Center, 3-9-11 Midori-cho Musashino-shi, Tokyo, 180-8585, Japa",,,,,,,,,,,,,0.0,3.0
213,Unsatisfiable Core Shrinking for Anytime Answer Set Optimization *,University of Calabria,University of Genoa,,,,,,,,,,,,,,2.0,0.0
214,Intuitionistic Layered Graph Logic *,University College London,University College London,,,,,,,,,,,,,,2.0,0.0
215,Streaming Multi-Context Systems *,"Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri",,,,,,,,,,,,,,2.0,0.0
216,On Subset Selection with General Cost Constraints *," UBRI, School of Computer Science and Technology",University of Science and Technology of China,Nanjing University,Nanjing University," UBRI, School of Computer Science and Technology",University of Science and Technology of China,,,,,,,,,,4.0,0.0
217,Right for the Right Reasons: Training Differentiable Models by Constraining their Explanations,Harvard University,Harvard University,Harvard University,,,,,,,,,,,,,3.0,0.0
218,Interactive Narrative Personalization with Deep Reinforcement Learning,North Carolina State University,North Carolina State University,North Carolina State University,North Carolina State University,North Carolina State University,,,,,,,,,,,5.0,0.0
219,Towards A Relational Approach For Tool Creation By Robots,UNSW Sydney,,,,,,,,,,,,,,,1.0,0.0
220,The Role of Textualisation and Argumentation in Understanding the Machine Learning Process,University of Bristol,University of Bristol,,,,,,,,,,,,,,2.0,0.0
221,Stacked Similarity-Aware Autoencoders,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,2.0,0.0
222,Context Attentive Bandits: Contextual Bandit with Restricted Context,IBM Research - Thomas J. Watson Research Center," Orange Labs, 2 av. Pierre Marzin, 22300 Lannion (France",,,,,,,,,,,,,,1.0,0.0
223,Beyond Forks: Finding and Ranking Star Factorings for Decoupled Search,Saarland University,Saarland University,Saarland University,,,,,,,,,,,,,3.0,0.0
224,Robust Advertisement Allocation,University of Texas Health Science Center at Dallas,,,,,,,,,,,,,,,1.0,0.0
225,Projective Low-rank Subspace Clustering via Learning Deep Encoder,Northeastern University,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,5.0,0.0
226,Local Topic Discovery via Boosted Ensemble of Nonnegative Matrix Factorization,Korea University,Korea University,Google (United States),Virginia Tech,,,,,,,,,,,,3.0,1.0
227,Reconstruction-based Unsupervised Feature Selection: An Embedded Approach,Arizona State University,Michigan State University,Arizona State University,,,,,,,,,,,,,3.0,0.0
228,Discriminative Deep Hashing for Scalable Face Image Retrieval,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,,,,3.0,0.0
229,Nash Equilibria in Concurrent Games with Lexicographic Preferences *,University of Oxford,University of Naples Federico II,University of Oxford,University of Naples Federico II,University of Oxford,,,,,,,,,,,5.0,0.0
230,On Redundant Topological Constraints (Extended Abstract) *,University of Technology Sydney,Chinese Academy of Sciences,University of Technology Sydney,University of Technology Sydney,RMIT University,RMIT University,,,,,,,,,,6.0,0.0
231,I-dual: Solving Constrained SSPs via Heuristic Search in the Dual Space,Australian National University,Australian National University,Australian National University,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,5.0,0.0
232,A Causal Framework for Discovering and Removing Direct and Indirect Discrimination,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville,,,,,,,,,,,,,3.0,0.0
233,Hierarchical LSTM with Adjusted Temporal Attention for Video Captioning,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,Beijing University of Posts and Telecommunications,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,6.0,0.0
234,Robust Survey Aggregation with Student-t Distribution and Sparse Representation,Tsinghua University, Equal Contribution,Tsinghua University, Equal Contribution,Nanyang Technological University,Tsinghua University,Tsinghua University,Nanyang Technological University,,,,,,,,6.0,0.0
235,Emergency Evacuation Simulator (EES) -a Tool for Planning Community Evacuations in Australia (Demonstration),RMIT University,RMIT University,,,,,,,,,,,,,,2.0,0.0
236,Core Stability in Hedonic Games among Friends and Enemies: Impact of Neutrals,Kyushu University,Kyushu University,Kyushu University,National Institute of Advanced Industrial Science and Technology,Kyushu University,,,,,,,,,,,5.0,0.0
237,Representativeness-aware Aspect Analysis for Brand Monitoring in Social Media *,National University of Singapore,National University of Singapore," Data Science Lab, JD.co",Shandong University,National University of Singapore,,,,,,,,,,,5.0,1.0
238,Real-Time Navigation in Classical Platform Games via Skill Reuse,RMIT University,RMIT University,RMIT University,,,,,,,,,,,,,3.0,0.0
239,Stochastic Online Anomaly Analysis for Streaming Time Series," NEC Labs Europe, German",Technical University of Darmstadt," NEC Labs Europe, German",Technical University of Munich,,,,,,,,,,,,2.0,0.0
240,When Does Label Propagation Fail? A View from a Network Generative Model,National Institute of Advanced Industrial Science and Technology,National Institute of Advanced Industrial Science and Technology,,,,,,,,,,,,,,2.0,0.0
241,From Qualitative to Quantitative Dominance Pruning for Optimal Planning,Saarland University,,,,,,,,,,,,,,,1.0,0.0
242,Large-scale Subspace Clustering by Fast Regression Coding,Northeastern University,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,5.0,0.0
243,Decreasing Uncertainty in Planning with State Prediction *,Universität Innsbruck,King's College London,King's College London,King's College London,Aalto University,Universität Innsbruck,,,,,,,,,,6.0,0.0
244,"Solving Very Hard Problems: Cube-and-Conquer, a Hybrid SAT Solving Method",The University of Texas at Austin,Swansea University,University of Kent,,,,,,,,,,,,,3.0,0.0
245,Grounding Abstract Spatial Concepts for Language Interaction with Robots,Massachusetts Institute of Technology,University of Rochester,Massachusetts Institute of Technology,University of Rochester,,,,,,,,,,,,4.0,0.0
246,Relatedness-based Multi-Entity Summarization,Wright State University,Wright State University,Wright State University,Wright State University,Nanjing University,,,,,,,,,,,5.0,0.0
247,A General Multi-agent Epistemic Planner Based on Higher-order Belief Change,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,4.0,0.0
248,A Feature-Enriched Neural Model for Joint Chinese Word Segmentation and Part-of-Speech Tagging,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,3.0,0.0
249,No Time to Observe: Adaptive Influence Maximization with Partial Feedback,The University of Texas Southwestern Medical Center,University of Texas Health Science Center at Dallas,,,,,,,,,,,,,,1.0,0.0
250,Privacy Issues Regarding the Application of DNNs to Activity-Recognition using Wearables and Its Countermeasures by Use of Adversarial Training,The University of Tokyo,The University of Tokyo,Sophia University,The University of Tokyo,,,,,,,,,,,,4.0,0.0
251,Near-Feasible Stable Matchings with Budget Constraints *,Tokyo Institute of Technology,RIKEN Center for Advanced Intelligence Project,University of Electro-Communications,RIKEN Center for Advanced Intelligence Project,,,,,,,,,,,,4.0,0.0
252,Fair Division of a Graph,Grenoble Institute of Technology,"P.J. Šafárik University, Slovaki",University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,5.0,0.0
253,Open-World Probabilistic Databases: An Abridged Report *,TU Dresden,California State University Los Angeles,California State University Los Angeles,,,,,,,,,,,,,3.0,0.0
254,Doubly Sparsifying Network,Texas A&M University,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,2.0,0.0
255,Dual Inference for Machine Learning,University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),University of Science and Technology of China,Microsoft Research Asia (China),,,,,,,,,,,2.0,3.0
256,On Coalitional Manipulation for Multiwinner Elections: Shortlisting,University of Oxford,Modeinstitut Berlin (Germany),Modeinstitut Berlin (Germany),,,,,,,,,,,,,1.0,0.0
257,The Minds of Many: Opponent Modelling in a Stochastic Game,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,,,,3.0,0.0
258,Stratified Strategy Selection for Unit Control in Real-Time Strategy Games,Universidade Federal de Viçosa,,,,,,,,,,,,,,,1.0,0.0
259,Modeling Bias Reduction Strategies in a Biased Agent,Tulane University,Stennis Space Center,,,,,,,,,,,,,,2.0,0.0
260,Speech-based Medical Decision Support in VR using a Deep Neural Network (Demonstration),German Research Centre for Artificial Intelligence,German Research Centre for Artificial Intelligence,German Research Centre for Artificial Intelligence,,,,,,,,,,,,,3.0,0.0
261,Compressed Nonparametric Language Modelling,Monash University,Monash University,University of Melbourne,,,,,,,,,,,,,3.0,0.0
262,Optimizing Ratio of Monotone Set Functions *," UBRI, School of Computer Science and Technology",University of Science and Technology of China,Nanjing University,Nanjing University," UBRI, School of Computer Science and Technology",University of Science and Technology of China,Nanjing University,,,,,,,,,5.0,0.0
263,User-based Opinion-based Recommendation *,University College Dublin,University College Dublin,,,,,,,,,,,,,,2.0,0.0
264,Concrete Problems for Autonomous Vehicle Safety: Advantages of Bayesian Deep Learning,University of Cambridge,The Alan Turing Institute,,,,,,,,,,,,,,2.0,0.0
265,Unsupervised Deep Video Hashing with Balanced Rotation *,Northumbria University,MSIGHT Technologies (China),Tsinghua University,Tsinghua University,Lancaster University,University of East Anglia,Northumbria University,,,,,,,,,6.0,1.0
266,Mention Recommendation for Twitter with End-to-end Memory Network,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,3.0,0.0
267,Confusion Graph: Detecting Confusion Communities in Large Scale Image Classification,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,,,,,,,,,,,,4.0,0.0
268,Multiwinner Rules on Paths From k-Borda to Chamberlin-Courant *,AGH University of Science and Technology,Technical University of Berlin,University of Auckland,Weizmann Institute of Science,,,,,,,,,,,,4.0,0.0
269,On Minimum Representations of Matched Formulas (Extended Abstract) *,Charles University,Charles University,Charles University,,,,,,,,,,,,,3.0,0.0
270,Automated Conjecturing I: Fajtlowicz's Dalmatian Heuristic Revisited (Extended Abstract) *,Virginia Commonwealth University,Ghent University,,,,,,,,,,,,,,2.0,0.0
271,Integrating Specialized Classifiers Based on Continuous Time Markov Chain,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,2.0,0.0
272,MAM-RNN: Multi-level Attention Model Based RNN for Video Captioning,Xian Institute of Optics and Precision Mechanics,Northwestern Polytechnical University,Xian Institute of Optics and Precision Mechanics,,,,,,,,,,,,,3.0,0.0
273,Learning to Read Irregular Text with Attention Mechanisms,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,5.0,0.0
274,Deceptive Path-Planning,RMIT University,RMIT University,,,,,,,,,,,,,,2.0,0.0
275,Switched Linear Multi-Robot Navigation Using Hierarchical Model Predictive Control,Nanjing University,Nanjing University,Nanjing University,Teesside University,Nanjing University,Shenzhen University,,,,,,,,,,6.0,0.0
276,Attachment Centrality for Weighted Graphs,University of Warsaw,University of Warsaw,,,,,,,,,,,,,,2.0,0.0
277,SPMC: Socially-Aware Personalized Markov Chains for Sparse Sequential Recommendation,"University of California, San Diego","University of California, San Diego","University of California, San Diego",,,,,,,,,,,,,3.0,0.0
278,Semi-supervised Feature Selection via Rescaled Linear Regression,Shenzhen University,Northwestern Polytechnical University,Shenzhen University,Shenzhen University,,,,,,,,,,,,4.0,0.0
279,Correlational Dueling Bandits with Application to Clinical Treatment in Large Decision Spaces,California Institute of Technology,California Institute of Technology,,,,,,,,,,,,,,2.0,0.0
280,Improving Classification Accuracy of Feedforward Neural Networks for Spiking Neuromorphic Chips,University of Victoria,University of Victoria,University of Victoria,,,,,,,,,,,,,3.0,0.0
281,Cost-Effective Active Learning from Diverse Labelers *,Nanjing University of Aeronautics and Astronautics, Collaborative Innovation Center of Novel Software Technology and Industrializatio,Nanjing University of Science and Technology, Collaborative Innovation Center of Novel Software Technology and Industrializatio,Nanjing University of Science and Technology, Collaborative Innovation Center of Novel Software Technology and Industrializatio,Nanjing University of Science and Technology, Collaborative Innovation Center of Novel Software Technology and Industrializatio,,,,,,,,4.0,0.0
282,Operation Frames and Clubs in Kidney Exchange,Carnegie Mellon University,Computer Science Department,Carnegie Mellon University,,,,,,,,,,,,,2.0,0.0
283,Context-Based Reasoning on Privacy in Internet of Things,Boğaziçi University,Boğaziçi University,,,,,,,,,,,,,,2.0,0.0
284,Enhancing Crowdworkers' Vigilance,Harvard University,Bar-Ilan University,Ashkelon Academic College,Vanderbilt University,,,,,,,,,,,,4.0,0.0
285,Discriminant Tensor Dictionary Learning with Neighbor Uncorrelation for Image Set Based Classification,Wuhan University,Nanjing University of Posts and Telecommunications,Wuhan University,Nanjing University of Posts and Telecommunications,Harbin Institute of Technology,Wuhan University,Wuhan University,,,,,,,,,7.0,0.0
286,Boosted Zero-Shot Learning with Semantic Correlation Regularization,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,4.0,0.0
287,Learning Multi-level Region Consistency with Dense Multi-label Networks for Semantic Segmentation,University of Adelaide,Nanyang Technological University,University of Adelaide,University of Adelaide,,,,,,,,,,,,4.0,0.0
288,Automated Planning for Urban Traffic Management (Demonstration),University of Huddersfield,University of Huddersfield,University of Huddersfield,,,,,,,,,,,,,3.0,0.0
289,"Fuzzy Logic Model for Digital Forensics: A Trade-off between Accuracy, Complexity and Interpretability",Norwegian University of Science and Technology,,,,,,,,,,,,,,,1.0,0.0
290,                                   ,,,,,,,,,,,,,,,,0.0,0.0
291,Proportional Rankings,Modeinstitut Berlin (Germany),University of Oxford,Modeinstitut Berlin (Germany),University of Oxford,University of Oxford,,,,,,,,,,,3.0,0.0
292,Scalable Normalized Cut with Improved Spectral Rotation,Shenzhen University,Northwestern Polytechnical University,Shenzhen University," Tencent AI Lab, Shenzhen, P.R. Chin",,,,,,,,,,,,3.0,0.0
293,Multiple-Weight Recurrent Neural Networks,Tsinghua University,Tsinghua University,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,3.0,0.0
294,Modal Consistency based Pre-Trained Multi-Model Reuse *,Nanjing University,Center of Novel Software Technology and Industrialization,,,,,,,,,,,,,,4.0,0.0
295,Softpressure: A Schedule-Driven Backpressure Algorithm for Coping with Network Congestion,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,2.0,0.0
296,Lossy Compression of Pattern Databases Using Acyclic Random Hypergraphs,University of Regina,University of Regina,,,,,,,,,,,,,,2.0,0.0
297,Locality Adaptive Discriminant Analysis *,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University, Unmanned System Research Institute (USRI),Northwestern Polytechnical University,,,,,,,,,,4.0,0.0
298,Incomplete Attribute Learning with Auxiliary Labels,Chinese Academy of Sciences,Institute of Computing Technology,Carleton University,University of Chinese Academy of Sciences,Carleton University,Chinese Academy of Sciences,Institute of Computing Technology,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,,,,,,10.0,0.0
299,New Canonical Representations by Augmenting OBDDs with Conjunctive Decomposition (Extended Abstract) *,Jilin University,Jilin University,Northeast Normal University,,,,,,,,,,,,,3.0,0.0
300,Efficient Mechanism Design for Online Scheduling (Extended Abstract) *,Chinese Academy of Sciences,Chinese Academy of Sciences,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Tsinghua University,Beijing University of Technology,Tsinghua University,,,,,,,,5.0,3.0
301,Socialized Word Embeddings,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Peking University,Hong Kong University of Science and Technology,Peking University,,,,,,,,,,,5.0,0.0
302,A Group-Based Personalized Model for Image Privacy Classification and Labeling,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Department of Computer Science University of North Texa,,,,,,,,,,,,3.0,0.0
303,ATL Strategic Reasoning Meets Correlated Equilibrium,Birmingham City University,Auckland University of Technology,,,,,,,,,,,,,,2.0,0.0
304,Non-Determinism and the Dynamics of Knowledge,University of Liverpool,Université Toulouse III - Paul Sabatier,University of Liverpool,University of Liverpool,,,,,,,,,,,,4.0,0.0
305,Adapting Deep Network Features to Capture Psychological Representations: An Abridged Report,"University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,2.0,0.0
306,First-Order Modular Logic Programs and their Conservative Extensions (Extended Abstract),The University of Texas at Austin,University of Nebraska at Omaha,,,,,,,,,,,,,,2.0,0.0
307,Learning Latest Classifiers without Additional Labeled Data,NTT Secure Platform Laboratorie,NTT Communication Science Laboratorie,,,,,,,,,,,,,,0.0,2.0
308,Improving the Generalization Performance of Multi-class SVM via Angular Regularization,Beihang University,Beihang University,Carnegie Mellon University,Beihang University,,,,,,,,,,,,4.0,0.0
309,FolkPopularityRank: Tag Recommendation for Enhancing Social Popularity using Text Tags in Content Sharing Services,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,4.0,0.0
310,Multi-Positive and Unlabeled Learning," Key Laboratory of Machine Perception (MOE), Cooperative Medianet Innovation Center",Peking University,University of Sydney,University of Sydney," Key Laboratory of Machine Perception (MOE), Cooperative Medianet Innovation Center",Peking University,University of Sydney,University of Sydney,,,,,,,,4.0,0.0
311,Mechanism Design for Strategic Project Scheduling,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,2.0,0.0
